name,type,use,height,floor,lat,lon,station_id,geometry
建筑-S18,building,residential,12,2,22.542100,114.046500,BLD-S013,"POLYGON ((114.046045 22.541645, 114.046955 22.541645, 114.046955 22.542555, 114.046045 22.542555, 114.046045 22.541645))"
建筑-V113,building,commercial,10,2,22.542100,114.053500,BLD-V014,"POLYGON ((114.053045 22.541645, 114.053955 22.541645, 114.053955 22.542555, 114.053045 22.542555, 114.053045 22.541645))"
建筑-V116,building,residential,10,2,22.542100,114.057700,BLD-V015,"POLYGON ((114.057245 22.541645, 114.058155 22.541645, 114.058155 22.542555, 114.057245 22.542555, 114.057245 22.541645))"
建筑-V121,building,commercial,10,2,22.542100,114.064700,BLD-V016,"POLYGON ((114.064245 22.541645, 114.065155 22.541645, 114.065155 22.542555, 114.064245 22.542555, 114.064245 22.541645))"
建筑-C20,building,commercial,8,3,22.540700,114.035300,BLD-C017,"POLYGON ((114.034845 22.540245, 114.035755 22.540245, 114.035755 22.541155, 114.034845 22.541155, 114.034845 22.540245))"
建筑-S29,building,residential,12,3,22.540700,114.047900,BLD-S018,"POLYGON ((114.047445 22.540245, 114.048355 22.540245, 114.048355 22.541155, 114.047445 22.541155, 114.047445 22.540245))"
建筑-S210,building,commercial,12,3,22.540700,114.049300,BLD-S019,"POLYGON ((114.048845 22.540245, 114.049755 22.540245, 114.049755 22.541155, 114.048845 22.541155, 114.048845 22.540245))"
建筑-V211,building,residential,10,3,22.540700,114.050700,BLD-V020,"POLYGON ((114.050245 22.540245, 114.051155 22.540245, 114.051155 22.541155, 114.050245 22.541155, 114.050245 22.540245))"
建筑-V212,building,commercial,10,3,22.540700,114.052100,BLD-V021,"POLYGON ((114.051645 22.540245, 114.052555 22.540245, 114.052555 22.541155, 114.051645 22.541155, 114.051645 22.540245))"
建筑-V216,building,commercial,10,3,22.540700,114.057700,BLD-V022,"POLYGON ((114.057245 22.540245, 114.058155 22.540245, 114.058155 22.541155, 114.057245 22.541155, 114.057245 22.540245))"
建筑-V221,building,residential,10,3,22.540700,114.064700,BLD-V023,"POLYGON ((114.064245 22.540245, 114.065155 22.540245, 114.065155 22.541155, 114.064245 22.541155, 114.064245 22.540245))"
建筑-C30,building,residential,8,1,22.539300,114.035300,BLD-C024,"POLYGON ((114.034845 22.538845, 114.035755 22.538845, 114.035755 22.539755, 114.034845 22.539755, 114.034845 22.538845))"
建筑-V313,building,commercial,10,1,22.539300,114.053500,BLD-V025,"POLYGON ((114.053045 22.538845, 114.053955 22.538845, 114.053955 22.539755, 114.053045 22.539755, 114.053045 22.538845))"
建筑-V316,building,residential,10,1,22.539300,114.057700,BLD-V026,"POLYGON ((114.057245 22.538845, 114.058155 22.538845, 114.058155 22.539755, 114.057245 22.539755, 114.057245 22.538845))"
建筑-V321,building,commercial,10,1,22.539300,114.064700,BLD-V027,"POLYGON ((114.064245 22.538845, 114.065155 22.538845, 114.065155 22.539755, 114.064245 22.539755, 114.064245 22.538845))"
建筑-C40,building,commercial,8,2,22.537900,114.035300,BLD-C028,"POLYGON ((114.034845 22.537445, 114.035755 22.537445, 114.035755 22.538355, 114.034845 22.538355, 114.034845 22.537445))"
建筑-S45,building,residential,12,2,22.537900,114.042300,BLD-S029,"POLYGON ((114.041845 22.537445, 114.042755 22.537445, 114.042755 22.538355, 114.041845 22.538355, 114.041845 22.537445))"
建筑-S48,building,commercial,12,2,22.537900,114.046500,BLD-S030,"POLYGON ((114.046045 22.537445, 114.046955 22.537445, 114.046955 22.538355, 114.046045 22.538355, 114.046045 22.537445))"
建筑-V413,building,residential,10,2,22.537900,114.053500,BLD-V031,"POLYGON ((114.053045 22.537445, 114.053955 22.537445, 114.053955 22.538355, 114.053045 22.538355, 114.053045 22.537445))"
建筑-V417,building,residential,10,2,22.537900,114.059100,BLD-V032,"POLYGON ((114.058645 22.537445, 114.059555 22.537445, 114.059555 22.538355, 114.058645 22.538355, 114.058645 22.537445))"
建筑-V420,building,commercial,10,2,22.537900,114.063300,BLD-V033,"POLYGON ((114.062845 22.537445, 114.063755 22.537445, 114.063755 22.538355, 114.062845 22.538355, 114.062845 22.537445))"
建筑-C51,building,commercial,8,3,22.536500,114.036700,BLD-C034,"POLYGON ((114.036245 22.536045, 114.037155 22.536045, 114.037155 22.536955, 114.036245 22.536955, 114.036245 22.536045))"
建筑-C52,building,residential,8,3,22.536500,114.038100,BLD-C035,"POLYGON ((114.037645 22.536045, 114.038555 22.536045, 114.038555 22.536955, 114.037645 22.536955, 114.037645 22.536045))"
建筑-C53,building,commercial,8,3,22.536500,114.039500,BLD-C036,"POLYGON ((114.039045 22.536045, 114.039955 22.536045, 114.039955 22.536955, 114.039045 22.536955, 114.039045 22.536045))"
建筑-C54,building,residential,8,3,22.536500,114.040900,BLD-C037,"POLYGON ((114.040445 22.536045, 114.041355 22.536045, 114.041355 22.536955, 114.040445 22.536955, 114.040445 22.536045))"
建筑-S59,building,commercial,12,3,22.536500,114.047900,BLD-S038,"POLYGON ((114.047445 22.536045, 114.048355 22.536045, 114.048355 22.536955, 114.047445 22.536955, 114.047445 22.536045))"
建筑-S510,building,residential,12,3,22.536500,114.049300,BLD-S039,"POLYGON ((114.048845 22.536045, 114.049755 22.536045, 114.049755 22.536955, 114.048845 22.536955, 114.048845 22.536045))"
建筑-V511,building,commercial,10,3,22.536500,114.050700,BLD-V040,"POLYGON ((114.050245 22.536045, 114.051155 22.536045, 114.051155 22.536955, 114.050245 22.536955, 114.050245 22.536045))"
建筑-V512,building,residential,10,3,22.536500,114.052100,BLD-V041,"POLYGON ((114.051645 22.536045, 114.052555 22.536045, 114.052555 22.536955, 114.051645 22.536955, 114.051645 22.536045))"
建筑-V518,building,residential,10,3,22.536500,114.060500,BLD-V042,"POLYGON ((114.060045 22.536045, 114.060955 22.536045, 114.060955 22.536955, 114.060045 22.536955, 114.060045 22.536045))"
建筑-V519,building,commercial,10,3,22.536500,114.061900,BLD-V043,"POLYGON ((114.061445 22.536045, 114.062355 22.536045, 114.062355 22.536955, 114.061445 22.536955, 114.061445 22.536045))"
