name,type,use,height,floor,zone,lat,lon,station_id,geometry
红绿灯-03-017,lamp,,,,,22.536484384,114.044724655,,"POLYGON ((113.3447247 21.8364844, 114.7447247 21.8364844, 114.7447247 23.2364844, 113.3447247 23.2364844, 113.3447247 21.8364844))"
红绿灯-04-018,lamp,,,,,22.537937838,114.044724655,,"POLYGON ((113.3447247 21.8379378, 114.7447247 21.8379378, 114.7447247 23.2379378, 113.3447247 23.2379378, 113.3447247 21.8379378))"
车辆-main-east-01-019,car,,,,,22.537751652,114.044945748,,"POLYGON ((113.3449457 21.8377517, 114.7449457 21.8377517, 114.7449457 23.2377517, 113.3449457 23.2377517, 113.3449457 21.8377517))"
车辆-main-east-02-020,car,,,,,22.537751652,114.050147937,,"POLYGON ((113.3501479 21.8377517, 114.7501479 21.8377517, 114.7501479 23.2377517, 113.3501479 23.2377517, 113.3501479 21.8377517))"
车辆-main-east-03-021,car,,,,,22.537751652,114.055350126,,"POLYGON ((113.3553501 21.8377517, 114.7553501 21.8377517, 114.7553501 23.2377517, 113.3553501 23.2377517, 113.3553501 21.8377517))"
车辆-main-west-04-022,car,,,,,22.536670571,114.059251768,,"POLYGON ((113.3592518 21.8366706, 114.7592518 21.8366706, 114.7592518 23.2366706, 113.3592518 23.2366706, 113.3592518 21.8366706))"
车辆-river-east-05-023,car,,,,,22.540124024,114.054049579,,"POLYGON ((113.3540496 21.8401240, 114.7540496 21.8401240, 114.7540496 23.2401240, 113.3540496 23.2401240, 113.3540496 21.8401240))"
景观树-06-024,tree,,,,,22.533247147,114.045368426,,"POLYGON ((113.3453684 21.8332471, 114.7453684 21.8332471, 114.7453684 23.2332471, 113.3453684 23.2332471, 113.3453684 21.8332471))"
景观树-12-025,tree,,,,,22.533247147,114.047514329,,"POLYGON ((113.3475143 21.8332471, 114.7475143 21.8332471, 114.7475143 23.2332471, 113.3475143 23.2332471, 113.3475143 21.8332471))"
景观树-06-026,tree,,,,,22.533247147,114.050375533,,"POLYGON ((113.3503755 21.8332471, 114.7503755 21.8332471, 114.7503755 23.2332471, 113.3503755 23.2332471, 113.3503755 21.8332471))"
景观树-12-027,tree,,,,,22.533247147,114.052521436,,"POLYGON ((113.3525214 21.8332471, 114.7525214 21.8332471, 114.7525214 23.2332471, 113.3525214 23.2332471, 113.3525214 21.8332471))"
景观树-18-028,tree,,,,,22.533247147,114.054667339,,"POLYGON ((113.3546673 21.8332471, 114.7546673 21.8332471, 114.7546673 23.2332471, 113.3546673 23.2332471, 113.3546673 21.8332471))"
景观树-06-029,tree,,,,,22.533247147,114.058959145,,"POLYGON ((113.3589591 21.8332471, 114.7589591 21.8332471, 114.7589591 23.2332471, 113.3589591 23.2332471, 113.3589591 21.8332471))"
商业街区A-01-030,building_tall,commercial,5.25,3,,22.535229129,114.040361319,,"POLYGON ((113.3403613 21.8352291, 114.7403613 21.8352291, 114.7403613 23.2352291, 113.3403613 23.2352291, 113.3403613 21.8352291))"
商业街区A-02-031,building_tall,commercial,6.0,4,,22.535229129,114.041076620,,"POLYGON ((113.3410766 21.8352291, 114.7410766 21.8352291, 114.7410766 23.2352291, 113.3410766 23.2352291, 113.3410766 21.8352291))"
商业街区A-03-032,building_tall,commercial,4.88,3,,22.535229129,114.041791921,,"POLYGON ((113.3417919 21.8352291, 114.7417919 21.8352291, 114.7417919 23.2352291, 113.3417919 23.2352291, 113.3417919 21.8352291))"
商业街区A-04-033,building_tall,commercial,5.62,3,,22.535229129,114.042507222,,"POLYGON ((113.3425072 21.8352291, 114.7425072 21.8352291, 114.7425072 23.2352291, 113.3425072 23.2352291, 113.3425072 21.8352291))"
商业街区A-05-034,building_tall,commercial,4.5,3,,22.535229129,114.043222523,,"POLYGON ((113.3432225 21.8352291, 114.7432225 21.8352291, 114.7432225 23.2352291, 113.3432225 23.2352291, 113.3432225 21.8352291))"
商业街区B-01-035,building_tall,commercial,5.25,3,,22.535229129,114.044653125,,"POLYGON ((113.3446531 21.8352291, 114.7446531 21.8352291, 114.7446531 23.2352291, 113.3446531 23.2352291, 113.3446531 21.8352291))"
商业街区B-02-036,building_tall,commercial,6.0,4,,22.535229129,114.045368426,,"POLYGON ((113.3453684 21.8352291, 114.7453684 21.8352291, 114.7453684 23.2352291, 113.3453684 23.2352291, 113.3453684 21.8352291))"
商业街区B-03-037,building_tall,commercial,4.88,3,,22.535229129,114.046083727,,"POLYGON ((113.3460837 21.8352291, 114.7460837 21.8352291, 114.7460837 23.2352291, 113.3460837 23.2352291, 113.3460837 21.8352291))"
商业街区B-04-038,building_tall,commercial,5.62,3,,22.535229129,114.046799028,,"POLYGON ((113.3467990 21.8352291, 114.7467990 21.8352291, 114.7467990 23.2352291, 113.3467990 23.2352291, 113.3467990 21.8352291))"
商业街区B-05-039,building_tall,commercial,4.5,3,,22.535229129,114.047514329,,"POLYGON ((113.3475143 21.8352291, 114.7475143 21.8352291, 114.7475143 23.2352291, 113.3475143 23.2352291, 113.3475143 21.8352291))"
商业街区C-01-040,building_tall,commercial,5.5,3,,22.535229129,114.048944931,,"POLYGON ((113.3489449 21.8352291, 114.7489449 21.8352291, 114.7489449 23.2352291, 113.3489449 23.2352291, 113.3489449 21.8352291))"
商业街区C-02-041,building_tall,commercial,6.0,4,,22.535229129,114.049660232,,"POLYGON ((113.3496602 21.8352291, 114.7496602 21.8352291, 114.7496602 23.2352291, 113.3496602 23.2352291, 113.3496602 21.8352291))"
商业街区C-03-042,building_tall,commercial,5.25,3,,22.535229129,114.050375533,,"POLYGON ((113.3503755 21.8352291, 114.7503755 21.8352291, 114.7503755 23.2352291, 113.3503755 23.2352291, 113.3503755 21.8352291))"
商业街区C-04-043,building_tall,commercial,5.75,3,,22.535229129,114.051090834,,"POLYGON ((113.3510908 21.8352291, 114.7510908 21.8352291, 114.7510908 23.2352291, 113.3510908 23.2352291, 113.3510908 21.8352291))"
商业街区C-05-044,building_tall,commercial,5.0,3,,22.535229129,114.051806135,,"POLYGON ((113.3518061 21.8352291, 114.7518061 21.8352291, 114.7518061 23.2352291, 113.3518061 23.2352291, 113.3518061 21.8352291))"
商业街区D-01-045,building_tall,commercial,5.25,3,,22.535229129,114.057528543,,"POLYGON ((113.3575285 21.8352291, 114.7575285 21.8352291, 114.7575285 23.2352291, 113.3575285 23.2352291, 113.3575285 21.8352291))"
商业街区D-02-046,building_tall,commercial,6.0,4,,22.535229129,114.058243844,,"POLYGON ((113.3582438 21.8352291, 114.7582438 21.8352291, 114.7582438 23.2352291, 113.3582438 23.2352291, 113.3582438 21.8352291))"
商业街区D-03-047,building_tall,commercial,4.88,3,,22.535229129,114.058959145,,"POLYGON ((113.3589591 21.8352291, 114.7589591 21.8352291, 114.7589591 23.2352291, 113.3589591 23.2352291, 113.3589591 21.8352291))"
商业街区E-01-048,building_tall,commercial,4.75,3,,22.538532432,114.048944931,,"POLYGON ((113.3489449 21.8385324, 114.7489449 21.8385324, 114.7489449 23.2385324, 113.3489449 23.2385324, 113.3489449 21.8385324))"
商业街区E-02-049,building_tall,commercial,5.5,3,,22.538532432,114.049660232,,"POLYGON ((113.3496602 21.8385324, 114.7496602 21.8385324, 114.7496602 23.2385324, 113.3496602 23.2385324, 113.3496602 21.8385324))"
商业街区E-03-050,building_tall,commercial,4.38,2,,22.538532432,114.050375533,,"POLYGON ((113.3503755 21.8385324, 114.7503755 21.8385324, 114.7503755 23.2385324, 113.3503755 23.2385324, 113.3503755 21.8385324))"
商业街区E-04-051,building_tall,commercial,5.12,3,,22.538532432,114.051090834,,"POLYGON ((113.3510908 21.8385324, 114.7510908 21.8385324, 114.7510908 23.2385324, 113.3510908 23.2385324, 113.3510908 21.8385324))"
商业街区E-05-052,building_tall,commercial,4.0,2,,22.538532432,114.051806135,,"POLYGON ((113.3518061 21.8385324, 114.7518061 21.8385324, 114.7518061 23.2385324, 113.3518061 23.2385324, 113.3518061 21.8385324))"
商业街区F-01-053,building_tall,commercial,4.75,3,,22.538532432,114.053236737,,"POLYGON ((113.3532367 21.8385324, 114.7532367 21.8385324, 114.7532367 23.2385324, 113.3532367 23.2385324, 113.3532367 21.8385324))"
商业街区F-02-054,building_tall,commercial,5.5,3,,22.538532432,114.053952038,,"POLYGON ((113.3539520 21.8385324, 114.7539520 21.8385324, 114.7539520 23.2385324, 113.3539520 23.2385324, 113.3539520 21.8385324))"
商业街区F-03-055,building_tall,commercial,4.38,2,,22.538532432,114.054667339,,"POLYGON ((113.3546673 21.8385324, 114.7546673 21.8385324, 114.7546673 23.2385324, 113.3546673 23.2385324, 113.3546673 21.8385324))"
商业街区F-04-056,building_tall,commercial,5.12,3,,22.538532432,114.055382640,,"POLYGON ((113.3553826 21.8385324, 114.7553826 21.8385324, 114.7553826 23.2385324, 113.3553826 23.2385324, 113.3553826 21.8385324))"
商业街区F-05-057,building_tall,commercial,4.0,2,,22.538532432,114.056097941,,"POLYGON ((113.3560979 21.8385324, 114.7560979 21.8385324, 114.7560979 23.2385324, 113.3560979 23.2385324, 113.3560979 21.8385324))"
商业街区G-01-058,building_tall,commercial,4.75,3,,22.538532432,114.057528543,,"POLYGON ((113.3575285 21.8385324, 114.7575285 21.8385324, 114.7575285 23.2385324, 113.3575285 23.2385324, 113.3575285 21.8385324))"
商业街区G-02-059,building_tall,commercial,5.5,3,,22.538532432,114.058243844,,"POLYGON ((113.3582438 21.8385324, 114.7582438 21.8385324, 114.7582438 23.2385324, 113.3582438 23.2385324, 113.3582438 21.8385324))"
商业街区G-03-060,building_tall,commercial,4.38,2,,22.538532432,114.058959145,,"POLYGON ((113.3589591 21.8385324, 114.7589591 21.8385324, 114.7589591 23.2385324, 113.3589591 23.2385324, 113.3589591 21.8385324))"
住宅街区W-01-061,building,residential,3.0,2,,22.538532432,114.040361319,,"POLYGON ((113.3403613 21.8385324, 114.7403613 21.8385324, 114.7403613 23.2385324, 113.3403613 23.2385324, 113.3403613 21.8385324))"
住宅街区W-02-062,building,residential,3.4,2,,22.538532432,114.041076620,,"POLYGON ((113.3410766 21.8385324, 114.7410766 21.8385324, 114.7410766 23.2385324, 113.3410766 23.2385324, 113.3410766 21.8385324))"
住宅街区W-03-063,building,residential,2.8,1,,22.538532432,114.041791921,,"POLYGON ((113.3417919 21.8385324, 114.7417919 21.8385324, 114.7417919 23.2385324, 113.3417919 23.2385324, 113.3417919 21.8385324))"
住宅街区W-04-064,building,residential,3.2,2,,22.538532432,114.042507222,,"POLYGON ((113.3425072 21.8385324, 114.7425072 21.8385324, 114.7425072 23.2385324, 113.3425072 23.2385324, 113.3425072 21.8385324))"
住宅街区W-05-065,building,residential,2.6,1,,22.538532432,114.043222523,,"POLYGON ((113.3432225 21.8385324, 114.7432225 21.8385324, 114.7432225 23.2385324, 113.3432225 23.2385324, 113.3432225 21.8385324))"
住宅街区E-01-066,building,residential,3.0,2,,22.538532432,114.044653125,,"POLYGON ((113.3446531 21.8385324, 114.7446531 21.8385324, 114.7446531 23.2385324, 113.3446531 23.2385324, 113.3446531 21.8385324))"
住宅街区E-02-067,building,residential,3.4,2,,22.538532432,114.045368426,,"POLYGON ((113.3453684 21.8385324, 114.7453684 21.8385324, 114.7453684 23.2385324, 113.3453684 23.2385324, 113.3453684 21.8385324))"
住宅街区E-03-068,building,residential,2.8,1,,22.538532432,114.046083727,,"POLYGON ((113.3460837 21.8385324, 114.7460837 21.8385324, 114.7460837 23.2385324, 113.3460837 23.2385324, 113.3460837 21.8385324))"
住宅街区E-04-069,building,residential,3.2,2,,22.538532432,114.046799028,,"POLYGON ((113.3467990 21.8385324, 114.7467990 21.8385324, 114.7467990 23.2385324, 113.3467990 23.2385324, 113.3467990 21.8385324))"
住宅街区E-05-070,building,residential,2.6,1,,22.538532432,114.047514329,,"POLYGON ((113.3475143 21.8385324, 114.7475143 21.8385324, 114.7475143 23.2385324, 113.3475143 23.2385324, 113.3475143 21.8385324))"
景观树-06-071,tree,,,,,22.542496396,114.041791921,,"POLYGON ((113.3417919 21.8424964, 114.7417919 21.8424964, 114.7417919 23.2424964, 113.3417919 23.2424964, 113.3417919 21.8424964))"
景观树-12-072,tree,,,,,22.542496396,114.043937824,,"POLYGON ((113.3439378 21.8424964, 114.7439378 21.8424964, 114.7439378 23.2424964, 113.3439378 23.2424964, 113.3439378 21.8424964))"
景观树-18-073,tree,,,,,22.542496396,114.046083727,,"POLYGON ((113.3460837 21.8424964, 114.7460837 21.8424964, 114.7460837 23.2424964, 113.3460837 23.2424964, 113.3460837 21.8424964))"
景观树-24-074,tree,,,,,22.542496396,114.048229630,,"POLYGON ((113.3482296 21.8424964, 114.7482296 21.8424964, 114.7482296 23.2424964, 113.3482296 23.2424964, 113.3482296 21.8424964))"
景观树-30-075,tree,,,,,22.542496396,114.050375533,,"POLYGON ((113.3503755 21.8424964, 114.7503755 21.8424964, 114.7503755 23.2424964, 113.3503755 23.2424964, 113.3503755 21.8424964))"
景观树-36-076,tree,,,,,22.542496396,114.052521436,,"POLYGON ((113.3525214 21.8424964, 114.7525214 21.8424964, 114.7525214 23.2424964, 113.3525214 23.2424964, 113.3525214 21.8424964))"
景观树-42-077,tree,,,,,22.542496396,114.054667339,,"POLYGON ((113.3546673 21.8424964, 114.7546673 21.8424964, 114.7546673 23.2424964, 113.3546673 23.2424964, 113.3546673 21.8424964))"
景观树-48-078,tree,,,,,22.542496396,114.056813242,,"POLYGON ((113.3568132 21.8424964, 114.7568132 21.8424964, 114.7568132 23.2424964, 113.3568132 23.2424964, 113.3568132 21.8424964))"
景观树-54-079,tree,,,,,22.542496396,114.058959145,,"POLYGON ((113.3589591 21.8424964, 114.7589591 21.8424964, 114.7589591 23.2424964, 113.3589591 23.2424964, 113.3589591 21.8424964))"
景观树-06-080,tree,,,,,22.544478378,114.046799028,,"POLYGON ((113.3467990 21.8444784, 114.7467990 21.8444784, 114.7467990 23.2444784, 113.3467990 23.2444784, 113.3467990 21.8444784))"
景观树-12-081,tree,,,,,22.545799700,114.047514329,,"POLYGON ((113.3475143 21.8457997, 114.7475143 21.8457997, 114.7475143 23.2457997, 113.3475143 23.2457997, 113.3475143 21.8457997))"
景观树-18-082,tree,,,,,22.544478378,114.048944931,,"POLYGON ((113.3489449 21.8444784, 114.7489449 21.8444784, 114.7489449 23.2444784, 113.3489449 23.2444784, 113.3489449 21.8444784))"
景观树-24-083,tree,,,,,22.545799700,114.049660232,,"POLYGON ((113.3496602 21.8457997, 114.7496602 21.8457997, 114.7496602 23.2457997, 113.3496602 23.2457997, 113.3496602 21.8457997))"
景观树-30-084,tree,,,,,22.544478378,114.051090834,,"POLYGON ((113.3510908 21.8444784, 114.7510908 21.8444784, 114.7510908 23.2444784, 113.3510908 23.2444784, 113.3510908 21.8444784))"
景观树-36-085,tree,,,,,22.545799700,114.051806135,,"POLYGON ((113.3518061 21.8457997, 114.7518061 21.8457997, 114.7518061 23.2457997, 113.3518061 23.2457997, 113.3518061 21.8457997))"
储能柜-01-086,container_b,,,,,22.543817718,114.053236737,,"POLYGON ((113.3532367 21.8438177, 114.7532367 21.8438177, 114.7532367 23.2438177, 113.3532367 23.2438177, 113.3532367 21.8438177))"
储能柜-03-087,container_b,,,,,22.545139039,114.053236737,,"POLYGON ((113.3532367 21.8451390, 114.7532367 21.8451390, 114.7532367 23.2451390, 113.3532367 23.2451390, 113.3532367 21.8451390))"
储能柜-05-088,container_b,,,,,22.543817718,114.053952038,,"POLYGON ((113.3539520 21.8438177, 114.7539520 21.8438177, 114.7539520 23.2438177, 113.3539520 23.2438177, 113.3539520 21.8438177))"
储能柜-07-089,container_b,,,,,22.545139039,114.053952038,,"POLYGON ((113.3539520 21.8451390, 114.7539520 21.8451390, 114.7539520 23.2451390, 113.3539520 23.2451390, 113.3539520 21.8451390))"
储能柜-09-090,container_b,,,,,22.543817718,114.054667339,,"POLYGON ((113.3546673 21.8438177, 114.7546673 21.8438177, 114.7546673 23.2438177, 113.3546673 23.2438177, 113.3546673 21.8438177))"
储能柜-11-091,container_b,,,,,22.545139039,114.054667339,,"POLYGON ((113.3546673 21.8451390, 114.7546673 21.8451390, 114.7546673 23.2451390, 113.3546673 23.2451390, 113.3546673 21.8451390))"
光伏板-01-092,solar_panel_land,,,,,22.543817718,114.056097941,,"POLYGON ((113.3560979 21.8438177, 114.7560979 21.8438177, 114.7560979 23.2438177, 113.3560979 23.2438177, 113.3560979 21.8438177))"
光伏板-03-093,solar_panel_land,,,,,22.545139039,114.056097941,,"POLYGON ((113.3560979 21.8451390, 114.7560979 21.8451390, 114.7560979 23.2451390, 113.3560979 23.2451390, 113.3560979 21.8451390))"
光伏板-05-094,solar_panel_land,,,,,22.543817718,114.056813242,,"POLYGON ((113.3568132 21.8438177, 114.7568132 21.8438177, 114.7568132 23.2438177, 113.3568132 23.2438177, 113.3568132 21.8438177))"
光伏板-07-095,solar_panel_land,,,,,22.545139039,114.056813242,,"POLYGON ((113.3568132 21.8451390, 114.7568132 21.8451390, 114.7568132 23.2451390, 113.3568132 23.2451390, 113.3568132 21.8451390))"
光伏板-09-096,solar_panel_land,,,,,22.543817718,114.057528543,,"POLYGON ((113.3575285 21.8438177, 114.7575285 21.8438177, 114.7575285 23.2438177, 113.3575285 23.2438177, 113.3575285 21.8438177))"
光伏板-11-097,solar_panel_land,,,,,22.545139039,114.057528543,,"POLYGON ((113.3575285 21.8451390, 114.7575285 21.8451390, 114.7575285 23.2451390, 113.3575285 23.2451390, 113.3575285 21.8451390))"
光伏板-13-098,solar_panel_land,,,,,22.543817718,114.058243844,,"POLYGON ((113.3582438 21.8438177, 114.7582438 21.8438177, 114.7582438 23.2438177, 113.3582438 23.2438177, 113.3582438 21.8438177))"
光伏板-15-099,solar_panel_land,,,,,22.545139039,114.058243844,,"POLYGON ((113.3582438 21.8451390, 114.7582438 21.8451390, 114.7582438 23.2451390, 113.3582438 23.2451390, 113.3582438 21.8451390))"
光伏板-17-100,solar_panel_land,,,,,22.543817718,114.058959145,,"POLYGON ((113.3589591 21.8438177, 114.7589591 21.8438177, 114.7589591 23.2438177, 113.3589591 23.2438177, 113.3589591 21.8438177))"
光伏板-19-101,solar_panel_land,,,,,22.545139039,114.058959145,,"POLYGON ((113.3589591 21.8451390, 114.7589591 21.8451390, 114.7589591 23.2451390, 113.3589591 23.2451390, 113.3589591 21.8451390))"
景观树-06-102,tree,,,,,22.547781682,114.047514329,,"POLYGON ((113.3475143 21.8477817, 114.7475143 21.8477817, 114.7475143 23.2477817, 113.3475143 23.2477817, 113.3475143 21.8477817))"
景观树-12-103,tree,,,,,22.547781682,114.049660232,,"POLYGON ((113.3496602 21.8477817, 114.7496602 21.8477817, 114.7496602 23.2477817, 113.3496602 23.2477817, 113.3496602 21.8477817))"
景观树-18-104,tree,,,,,22.547781682,114.051806135,,"POLYGON ((113.3518061 21.8477817, 114.7518061 21.8477817, 114.7518061 23.2477817, 113.3518061 23.2477817, 113.3518061 21.8477817))"
储能柜-01-105,container_b,,,,,22.547121021,114.053236737,,"POLYGON ((113.3532367 21.8471210, 114.7532367 21.8471210, 114.7532367 23.2471210, 113.3532367 23.2471210, 113.3532367 21.8471210))"
储能柜-03-106,container_b,,,,,22.547121021,114.053952038,,"POLYGON ((113.3539520 21.8471210, 114.7539520 21.8471210, 114.7539520 23.2471210, 113.3539520 23.2471210, 113.3539520 21.8471210))"
储能柜-05-107,container_b,,,,,22.547121021,114.054667339,,"POLYGON ((113.3546673 21.8471210, 114.7546673 21.8471210, 114.7546673 23.2471210, 113.3546673 23.2471210, 113.3546673 21.8471210))"
光伏板-01-108,solar_panel_land,,,,,22.547121021,114.056097941,,"POLYGON ((113.3560979 21.8471210, 114.7560979 21.8471210, 114.7560979 23.2471210, 113.3560979 23.2471210, 113.3560979 21.8471210))"
光伏板-03-109,solar_panel_land,,,,,22.547121021,114.056813242,,"POLYGON ((113.3568132 21.8471210, 114.7568132 21.8471210, 114.7568132 23.2471210, 113.3568132 23.2471210, 113.3568132 21.8471210))"
光伏板-05-110,solar_panel_land,,,,,22.547121021,114.057528543,,"POLYGON ((113.3575285 21.8471210, 114.7575285 21.8471210, 114.7575285 23.2471210, 113.3575285 23.2471210, 113.3575285 21.8471210))"
光伏板-07-111,solar_panel_land,,,,,22.547121021,114.058243844,,"POLYGON ((113.3582438 21.8471210, 114.7582438 21.8471210, 114.7582438 23.2471210, 113.3582438 23.2471210, 113.3582438 21.8471210))"
光伏板-09-112,solar_panel_land,,,,,22.547121021,114.058959145,,"POLYGON ((113.3589591 21.8471210, 114.7589591 21.8471210, 114.7589591 23.2471210, 113.3589591 23.2471210, 113.3589591 21.8471210))"
充电站-C01-113,charger_fast,,,,commercial,22.536220120,114.040361319,C01,"POLYGON ((113.3403613 21.8362201, 114.7403613 21.8362201, 114.7403613 23.2362201, 113.3403613 23.2362201, 113.3403613 21.8362201))"
充电站-C02-114,charger_fast,,,,commercial,22.536220120,114.041076620,C02,"POLYGON ((113.3410766 21.8362201, 114.7410766 21.8362201, 114.7410766 23.2362201, 113.3410766 23.2362201, 113.3410766 21.8362201))"
充电站-C03-115,charger_fast,,,,commercial,22.536220120,114.041791921,C03,"POLYGON ((113.3417919 21.8362201, 114.7417919 21.8362201, 114.7417919 23.2362201, 113.3417919 23.2362201, 113.3417919 21.8362201))"
充电站-C04-116,charger_fast,,,,commercial,22.536220120,114.042507222,C04,"POLYGON ((113.3425072 21.8362201, 114.7425072 21.8362201, 114.7425072 23.2362201, 113.3425072 23.2362201, 113.3425072 21.8362201))"
充电站-C05-117,charger_fast,,,,commercial,22.536220120,114.043222523,C05,"POLYGON ((113.3432225 21.8362201, 114.7432225 21.8362201, 114.7432225 23.2362201, 113.3432225 23.2362201, 113.3432225 21.8362201))"
充电站-C06-118,charger_fast,,,,commercial,22.536220120,114.048944931,C06,"POLYGON ((113.3489449 21.8362201, 114.7489449 21.8362201, 114.7489449 23.2362201, 113.3489449 23.2362201, 113.3489449 21.8362201))"
充电站-C07-119,charger_fast,,,,commercial,22.536220120,114.049660232,C07,"POLYGON ((113.3496602 21.8362201, 114.7496602 21.8362201, 114.7496602 23.2362201, 113.3496602 23.2362201, 113.3496602 21.8362201))"
充电站-C08-120,charger_fast,,,,commercial,22.536220120,114.050375533,C08,"POLYGON ((113.3503755 21.8362201, 114.7503755 21.8362201, 114.7503755 23.2362201, 113.3503755 23.2362201, 113.3503755 21.8362201))"
充电站-C09-121,charger_fast,,,,commercial,22.536220120,114.051090834,C09,"POLYGON ((113.3510908 21.8362201, 114.7510908 21.8362201, 114.7510908 23.2362201, 113.3510908 23.2362201, 113.3510908 21.8362201))"
充电站-C10-122,charger_fast,,,,commercial,22.536220120,114.051806135,C10,"POLYGON ((113.3518061 21.8362201, 114.7518061 21.8362201, 114.7518061 23.2362201, 113.3518061 23.2362201, 113.3518061 21.8362201))"
充电站-C11-123,charger_fast,,,,commercial,22.538202102,114.044653125,C11,"POLYGON ((113.3446531 21.8382021, 114.7446531 21.8382021, 114.7446531 23.2382021, 113.3446531 23.2382021, 113.3446531 21.8382021))"
充电站-C12-124,charger_fast,,,,commercial,22.538202102,114.045368426,C12,"POLYGON ((113.3453684 21.8382021, 114.7453684 21.8382021, 114.7453684 23.2382021, 113.3453684 23.2382021, 113.3453684 21.8382021))"
充电站-C13-125,charger_fast,,,,commercial,22.538202102,114.046083727,C13,"POLYGON ((113.3460837 21.8382021, 114.7460837 21.8382021, 114.7460837 23.2382021, 113.3460837 23.2382021, 113.3460837 21.8382021))"
充电站-C14-126,charger_fast,,,,commercial,22.538202102,114.046799028,C14,"POLYGON ((113.3467990 21.8382021, 114.7467990 21.8382021, 114.7467990 23.2382021, 113.3467990 23.2382021, 113.3467990 21.8382021))"
充电站-S15-127,charger_slow,,,,park,22.540574474,114.050375533,S15,"POLYGON ((113.3503755 21.8405745, 114.7503755 21.8405745, 114.7503755 23.2405745, 113.3503755 23.2405745, 113.3503755 21.8405745))"
充电站-S16-128,charger_slow,,,,park,22.540574474,114.051090834,S16,"POLYGON ((113.3510908 21.8405745, 114.7510908 21.8405745, 114.7510908 23.2405745, 113.3510908 23.2405745, 113.3510908 21.8405745))"
充电站-S17-129,charger_slow,,,,park,22.540574474,114.051806135,S17,"POLYGON ((113.3518061 21.8405745, 114.7518061 21.8405745, 114.7518061 23.2405745, 113.3518061 23.2405745, 113.3518061 21.8405745))"
